canonical_id,display_artist,display_title,play_count,first_play_ts,spotify_status,spotify_attempt_count,mb_lookup_status,mb_isrc_year,mb_ta_status,mb_title_artist_year,manual_year_override
2658,Aish,Passover Funk,1,2026-04-01T18:24:00,FAILED,6,,,,,
2628,Allison Ponthier,Hollywood Forever Cemetery (Acoustic),1,2026-03-31T16:34:00,FAILED,7,,,,,
1920,Benjamin Gibbard,Cath (Acoustic),1,2026-03-02T09:33:00,FAILED,17,,,,,
1886,Benjamin Gibbard,Northern Lights,1,2026-03-01T09:41:00,FAILED,18,,,,,
2555,"Crosby, Stills, Nash & Young",Hawaiian Sunrise,1,2026-03-27T18:43:00,FAILED,9,,,,,
2914,Eob,Shangri-La,1,2026-04-15T12:31:00,FAILED,1,,,,,
561,Foo Fighters,Baker Street,1,2026-02-19T01:57:00,FAILED,18,,,,,
2882,Futurebirds,Fly On,1,2026-04-13T21:29:00,FAILED,1,,,,,
1862,Grace Potter W/don Was & Matt Burr,I Shall Be Released,1,2026-02-28T18:55:00,FAILED,18,,,,,
2643,Johnette Napolitano,The Scientist,1,2026-04-01T08:02:00,FAILED,7,,,,,
2511,Lamont Landers,(Sittin' On) The Dock Of The Bay,1,2026-03-25T06:30:00,FAILED,10,,,,,
1956,Lamont Landers,Nothing From Nothing,1,2026-03-03T11:31:00,FAILED,17,,,,,
798,Lamont Landers,Use Me,1,2026-02-10T17:28:00,FAILED,18,,,,,
2691,Matt Nathanson,Little Red Corvette (Acoustic),1,2026-04-02T09:29:00,FAILED,6,,,,,
2282,Stealers Wheel,Dust In The Wind,1,2026-03-16T08:05:00,FAILED,12,,,,,
2541,The Lumineers,Atlantic City,1,2026-03-26T18:33:00,FAILED,9,,,,,
1749,The Lumineers,Life Is A Carnival,1,2026-02-26T18:08:00,FAILED,18,,,,,
2884,The Lumineers,Mystery Train,1,2026-04-13T18:31:00,FAILED,1,,,,,
2159,The Lumineers,Stage Fright,1,2026-03-10T12:03:00,FAILED,14,,,,,
875,The Lumineers,The Night They Drove Old Dixie Down,1,2026-02-15T06:02:00,FAILED,18,,,,,
876,The Lumineers,The Shape I'm In,1,2026-02-17T06:24:00,FAILED,18,,,,,
877,The Lumineers,The Weight,1,2026-02-19T07:50:00,FAILED,18,,,,,
2303,The Lumineers,Tura Lura Lural,1,2026-03-17T06:22:00,FAILED,12,,,,,
878,The Lumineers,Up On Cripple Creek,3,2026-02-12T07:25:00,FAILED,18,,,,,
1237,The Revivalists,Wildflowers,1,2026-02-20T08:24:00,FAILED,18,,,,,
2909,Thee Sacred Souls,Anybody's Fool,1,2026-04-15T06:50:00,FAILED,1,,,,,
